0.87500 {0: 'bad', 1: 'positive'}
0.87500 {0: 'negative', 1: 'positive'}
0.84375 {0: 'low', 1: 'positive'}
0.84375 {0: 'not great', 1: 'positive'}
0.84375 {0: 'poor', 1: 'positive'}
0.84375 {0: 'the same', 1: 'positive'}
0.81250 {0: 'wrong', 1: 'positive'}
0.81250 {0: 'that', 1: 'positive'}
0.81250 {0: 'mixed', 1: 'positive'}
0.81250 {0: 'accurate', 1: 'positive'}
0.81250 {0: 'not good', 1: 'positive'}
0.81250 {0: 'fair', 1: 'positive'}
0.81250 {0: 'pretty good', 1: 'positive'}
0.78125 {0: 'pretty positive', 1: 'positive'}
0.78125 {0: 'below', 1: 'positive'}
0.78125 {0: 'this', 1: 'positive'}
0.75000 {0: 'correct', 1: 'positive'}
0.75000 {0: 'mostly positive', 1: 'positive'}
0.71875 {0: 'neutral', 1: 'positive'}
0.71875 {0: 'right', 1: 'positive'}
