0.87500 {0: 'below', 1: 'good'}
0.87500 {0: 'very negative', 1: 'good'}
0.87500 {0: 'mixed', 1: 'good'}
0.87500 {0: 'unchanged', 1: 'good'}
0.84375 {0: 'poor', 1: 'good'}
0.84375 {0: 'very strong', 1: 'good'}
0.84375 {0: 'overwhelming', 1: 'good'}
0.84375 {0: 'negative', 1: 'good'}
0.81250 {0: 'not good', 1: 'good'}
0.81250 {0: 'pretty positive', 1: 'good'}
0.81250 {0: 'that', 1: 'good'}
0.81250 {0: 'quite positive', 1: 'good'}
0.81250 {0: 'bad', 1: 'good'}
0.81250 {0: 'low', 1: 'good'}
0.81250 {0: 'rather positive', 1: 'good'}
0.81250 {0: 'wrong', 1: 'good'}
0.81250 {0: ':', 1: 'good'}
0.81250 {0: 'not great', 1: 'good'}
0.81250 {0: 'this', 1: 'good'}
0.78125 {0: 'one', 1: 'good'}
